2999000,28043.6
2999001,15031.1
2999002,72334.2
2999003,4591.3
2999004,256.9
2999005,15386.7
2999006,576349
2999007,5101.2
2999008,9455.9
2999009,3813
2999010,3347.8
2999011,61158.8
2999012,3398.2
2999013,13979.4
2999014,4930.6
2999015,317594
2999016,4942.5
2999017,20544.2
2999018,28206.5
2999019,11111.5
2999020,3247.4
2999021,6359.5
2999022,13490.7
2999023,42861.1
2999024,38897.9
2999025,70835.4
2999026,7480.2
2999027,185342
2999028,18736.4
2999029,11884.1
2999030,1106.5
2999031,15574.9
2999032,2016.3
2999033,37093.1
2999034,51228.2
2999035,64349.1
2999036,13444.8
2999037,14608.6
2999038,1739.7
2999039,19707.7
2999040,75025.4
2999041,277.3
2999042,29011.8
2999043,4103.3
2999044,55050.9
2999045,21902.8
2999046,4053.5
2999047,212821
2999048,89579.4
2999049,15949.2
2999050,11549.4
2999051,37678
2999052,6273.6
2999053,7603.1
2999054,1103.5
2999055,38483.9
2999056,51919
2999057,4289.8
2999058,8306.9
2999059,3023.6
2999060,1611
2999061,7847.4
2999062,1176.3
2999063,28864.1
2999064,7380.2
2999065,2958.8
2999066,70213.8
2999067,3102.5
2999068,3943.3
2999069,1413.9
2999070,29163.3
2999071,26809.5
2999072,507
2999073,158496
2999074,3570.8
2999075,26779.1
2999076,6215
2999077,3345.3
2999078,5380.5
2999079,145.3
2999080,7501.2
2999081,20492.7
2999082,28693.4
2999083,24677.4
2999084,3020
2999085,129719
2999086,22252.1
2999087,3574
2999088,17170.2
2999089,3815.4
2999090,4195.7
2999091,143754
2999092,248083
2999093,16163.1
2999094,27952.3
2999095,110193
2999096,14584.2
2999097,3515.5
2999098,33835.9
2999099,12735.4
2999100,50502.7
2999101,28818.9
2999102,18951.9
2999103,7110.2
2999104,11376.6
2999105,21739.9
2999106,14854
2999107,15049.8
2999108,57962.9
2999109,3189.5
2999110,7519.2
2999111,5911.6
2999112,6550.5
2999113,25105
2999114,15988.2
2999115,41077.9
2999116,1308.9
2999117,124793
2999118,28460.9
2999119,581058
2999120,37445.4
2999121,21570.2
2999122,42857.9
2999123,40484
2999124,118886
2999125,6557.5
2999126,21400
2999127,56686
2999128,46161.2
2999129,10606.4
2999130,52943.8
2999131,28689.9
2999132,459994
2999133,36733.4
2999134,8139
2999135,51474.1
2999136,21821.2
2999137,12345.5
2999138,20735.6
2999139,17009.6
2999140,6052.2
2999141,51350
2999142,1656
2999143,15218
2999144,22265.6
2999145,5442.5
2999146,26010.4
2999147,68235.3
2999148,17692.1
2999149,57473.3
2999150,8413.9
2999151,348.6
2999152,5039.9
2999153,1371.1
2999154,3430.6
2999155,75694.3
2999156,8396.1
2999157,8670.7
2999158,29740.3
2999159,46364.6
2999160,34712
2999161,14831.4
2999162,7272.6
2999163,7861.1
2999164,9707.1
2999165,145283
2999166,30101.6
2999167,19448.8
2999168,32338.3
2999169,14102.2
2999170,154054
2999171,380920
2999172,14312
2999173,76657.3
2999174,15484.2
2999175,39867.2
2999176,8545.7
2999177,21408.2
2999178,13934.6
2999179,13435.4
2999180,1514.5
2999181,1127.5
2999182,281407
2999183,418753
2999184,579.1
2999185,13502.5
2999186,13554
2999187,21133.8
2999188,23902.6
2999189,41895.9
2999190,1255.3
2999191,103875
2999192,1990.7
2999193,2398.6
2999194,3254.6
